"","traits"
"1019","chromatid break measurement"
"1020","IgG index"
"1021","motion sickness"
"1022","wet macular degeneration"
"1023","caudate nucleus volume"
"1024","nucleus accumbens volume"
"1025","putamen volume"
"1026","pallidum volume"
"1027","amygdala volume"
"1028","thalamus volume"
"1029","behavioral abnormality"
"1030","inflammatory skin disease"
"1031","recalcitrant atopic dermatitis"
"1032","colonic neoplasm"
"1033","Toxoplasma gondii seropositivity"
"1034","HSV1 seropositivity"
"1035","human herpesvirus 6 seropositivity"
"1036","gliadin seropositivity"
"1037","executive function"
"1038","vein graft stenosis"
"1039","myelosupression"
"1040","antisocial behaviour measurement"
"1041","sporadic Creutzfeld Jacobs disease"
"1042","coronary artery bypass"
"1043","cutaneous lupus erythematosus"
"1044","microsatellite instability measurement"
"1045","rectum cancer"
"1046","autoimmune pancreatitis type 1"
"1047","lachrymal gland lesion"
"1048","response to heparin"
"1049","thrombocytopenia"
"1050","perianal Crohn's disease"
"1051","ileocolitis"
"1052","erythema nodosum"
"1053","stricture"
"1054","mild disease course"
"1055","complicated disease course"
"1056","trans fatty acid measurement"
"1057","trans-16:1n-7 fatty acid measurement"
"1058","cis/trans-18:2 fatty acid measurement"
"1059","trans/trans-18:2 fatty acid measurement"
"1060","seasonality measurement"
"1061","breastfeeding duration"
"1062","cervical artery dissection"
"1063","electrodermal activity measurement"
"1064","skin conductance level"
"1065","skin conductance response amplitude"
"1066","skin conductance response frequency"
"1067","acoustic startle blink response measurement"
"1068","antisaccade response measurement"
"1069","alpha wave measurement"
"1070","beta wave measurement"
"1071","delta wave measurement"
"1072","theta wave measurement"
"1073","glucose homeostasis measurement"
"1074","airway responsiveness measurement"
"1075","airway wall thickness measurement"
"1076","PCSK9 protein measurement"
"1077","response to simvastatin"
"1078","endothelial growth factor measurement"
"1079","angiopoietin-2 measurement"
"1080","angiopoietin-2 receptor measurement"
"1081","hepatocyte growth factor measurement"
"1082","response to efavirenz"
"1083","response to abacavir"
"1084","virologic response measurement"
"1085","BNP measurement"
"1086","cardiovascular event measurement"
"1087","household air pollution measurement"
"1088","birth measurement"
"1089","delivery measurement"
"1090","fertility measurement"
"1091","lipoprotein A measurement"
"1092","marginal zone B-cell lymphoma"
"1093","response to dalcetrapib"
"1094","female fertility"
"1095","spontaneous preterm birth"
"1096","bladder exstrophy"
"1097","salivary gland neoplasm"
"1098","optic disc measurement"
"1099","optic disc area measurement"
"1100","optic rim area measurement"
"1101","cup-to-disc ratio measurement"
"1102","optic cup area measurement"
"1103","grip strength measurement"
"1104","facial pigmentation measurement"
"1105","blood pressure change measurement"
"1106","systolic blood pressure change measurement"
"1107","diastolic blood pressure change measurement"
"1108","behavioural disinhibition measurement"
"1109","red wine liking measurement"
"1110","white wine liking measurement"
"1111","response to vincristine"
"1112","ototoxicity"
"1113","cytotoxicity measurement"
"1114","developmental dysplasia of the hip"
"1115","Testicular Germ Cell Tumor"
"1116","family history of lung cancer"
"1117","response to triamcinolone acetonide"
"1118","ADAMTS13 activity measurement"
"1119","intraocular pressure change measurement"
"1120","X12063 measurement"
"1121","mannose measurement"
"1122","gene methylation measurement"
"1123","estrogen-receptor positive breast cancer"
"1124","lipoatrophy"
"1125","childhood cancer"
"1126","response to diisocyanate"
"1127","response to homoharringtonine"
"1128","response to biological dust exposure"
"1129","response to mineral dust exposure"
"1130","response to gases and fumes exposure"
"1131","response to cold medicine"
"1132","response to stavudine"
"1133","cancer aggressiveness measurement"
"1134","Gleason score measurement"
"1135","dehydroepiandrosterone sulphate measurement"
"1136","luteinizing hormone measurement"
"1137","prolactin measurement"
"1138","progesterone  measurement"
"1139","free androgen index"
"1140","depressive symptom measurement"
"1141","ticagrelor measurement"
"1142","AR-C124910XX measurement"
"1143","allergy measurement"
"1144","skin pigmentation measurement"
"1145","drug use measurement"
"1146","SSRI use measurement"
"1147","NSAID use measurement"
"1148","aspirin use measurement"
"1149","3-hydroxypropylmercapturic acid measurement"
"1150","3-hydroxy-1-methylpropylmercapturic acid measurement"
"1151","food allergy measurement"
"1152","peanut allergy measurement"
"1153","egg allergy measurement"
"1154","milk allergy measurement"
"1155","Lewy body measurement"
"1156","pituitary gland adenoma"
"1157","response to Montelukast"
"1158","response to endocrine therapy"
"1159","asthma exacerbation measurement"
"1160","thrombus formation measurement"
"1161","hearing measurement"
"1162","pure tone hearing measurement"
"1163","hearing threshold measurement"
"1164","suicide ideation measurement"
"1165","volumetric bone mineral density"
"1166","bone mineral content measurement"
"1167","sRAGE measurement"
"1168","suicide behaviour"
"1169","suicide"
"1170","longitudinal alcohol consumption measurement"
"1171","Down syndrome"
"1172","Atrioventricular canal defect"
"1173","amyloid plaque accumulation rate"
"1174","major depressive episode"
"1175","dysphagia"
"1176","gastric cardia carcinoma"
"1177","concentration dose ratio"
"1178","cutaneous melanoma"
"1179","attention function measurement"
"1180","traditional Chinese medicine type"
"1181","Yu-Zhi constitution type"
"1182","Cough"
"1183","minimal erythema dose"
"1184","response to vancomycin"
"1185","vancomycin trough measurement"
"1186","renal elimination rate measurement"
"1187","Mitral valve prolapse"
"1188","soluble interleukin-2 receptor subunit alpha measurement"
"1189","urinary S-phenylmercapturic acid measurement"
"1190","health trait"
"1191","clinical ideal cardiovascular health"
"1192","clinical and behavioural ideal cardiovascular health"
"1193","clusterin measurement"
"1194","plasma clusterin measurement"
"1195","cerebrospinal fluid clusterin measurement"
"1196","carrier status"
"1197","APOE carrier status"
"1198","cryptorchidism"
"1199","gastric adenocarcinoma"
"1200","juvenile dermatomyositis"
"1201","myositis"
"1202","polymyositis"
"1203","cancer"
"1204","autoimmune disease"
"1205","left superior temporal gyrus grey matter volume measurement"
"1206","GBA carrier status"
"1207","eye movement measurement"
"1208","exploratory eye movement measurement"
"1209","spine bone mineral density"
"1210","hip bone mineral density"
"1211","hystidil-tRNA synthetase autoantibody measurement"
"1212","depressive episode measurement"
"1213","manic episode measurement"
"1214","manic or hypomanic episode"
"1215","cardiotoxicity"
"1216","cerebral amyloid deposition measurement"
"1217","t-tau:Ab1:42 ratio"
"1218","p-tau:ab1:42 ratio"
"1219","cognitive impairment"
"1220","cognitive decline measurement"
"1221","coronary artery disease"
"1222","non-obstructive coronary artery disease"
"1223","carotid artery measurement"
"1224","carotid artery geometry measurement"
"1225","carotid artery stiffness measurement"
"1226","carotid artery external diameter measurement"
"1227","carotid artery internal diameter measurement"
"1228","carotid artery central pulse pressure measurement"
"1229","carotid artery wall cross sectional area measurement"
"1230","carotid artery mean blood pressure measurement"
"1231","carotid artery circumferential wall stress measurement"
"1232","Osteochondritis Dissecans"
"1233","extraversion"
"1234","proteinuria"
"1235","BMI-adjusted adiponectin measurement"
"1236","cingulate cortex measurement"
"1237","left superior temporal gyrus thickness measurement"
"1238","S wave amplitude"
"1239","R wave amplitude"
"1240","QRS amplitude"
"1241","primary biliary cirrhosis"
"1242","secondary biliary cirrhosis"
"1243","influenza A (H1N1)"
"1244","influenza A severity measurement"
"1245","alcoholic liver cirrhosis"
"1246","atrophic macular degeneration"
"1247","inguinal hernia"
"1248","response to beta blocker"
"1249","response to calcium channel blocker"
"1250","response to exercise"
"1251","thoracic-to-hip circumference ratio measurement"
"1252","post-operative fentanyl consumption measurement"
"1253","pathologic complete response measurement"
"1254","calcaneal bone quantitative ultrasound measurement"
"1255","abnormal thrombosis"
"1256","deep vein thrombosis"
"1257","small vessel stroke"
"1258","Cerebral arteriovenous malformation"
"1259","periodontal measurement"
"1260","primary angle closure glaucoma"
"1261","Asparaginase-induced acute pancreatitis"
"1262","mosaic loss of chromosome Y measurement"
"1263","functional decline measurement"
"1264","femoral neck bone mineral density"
"1265","BMI-adjusted waist-hip ratio"
"1266","BMI-adjusted waist circumference"
"1267","Epstein Barr virus nuclear antigen 1 IgG measurement"
"1268","rheumatoid factor seropositivity measurement"
"1269","antipsychotic drug use measurement"
"1270","low tension glaucoma"
"1271","Plasmodium falciparum antigen IgG1 measurement"
"1272","Plasmodium falciparum antigen IgG3 measurement"
"1273","Plasmodium falciparum antigen IgG measurement"
"1274","cotinine measurement"
"1275","refractive error measurement"
"1276","cannabis dependence"
"1277","fever"
"1278","response to dabrafenib"
"1279","response to trametinib"
"1280","sleep apnea measurement"
"1281","athletic endurance measurement"
"1282","advanced glycation end-product measurement"
"1283","alcohol dependence measurement"
"1284","coenzyme Q10 measurement"
"1285","response to antithyroid drug"
"1286","endometrial endometrioid carcinoma"
"1287","ovarian endometrioid carcinoma"
"1288","ovarian serous carcinoma"
"1289","head and neck malignant neoplasia"
"1290","Alagille syndrome"
"1291","Hepatic fibrosis"
"1292","seroconversion"
"1293","response to mercaptopurine"
"1294","knee peak torque measurement"
"1295","facial height measurement"
"1296","facial depth measurement"
"1297","eye morphology measurement"
"1298","gastroesophageal reflux disease"
"1299","HER2 status"
"1300","Graves ophtalmopathy"
"1301","Breslow thickness"
"1302","bacteriemia"
"1303","pneumococcal bacteremia"
"1304","pathological gambling"
"1305","cutaneous squamous cell carcinoma"
"1306","response to interferon"
"1307","ADHD symptom measurement"
"1308","reproductive behaviour measurement"
"1309","illness severity status"
"1310","sulfate measurement"
"1311","loneliness measurement"
"1312","response to rifampicin"
"1313","response to gefitinib"
"1314","response to erlotinib"
"1315","central corneal thickness"
"1316","temporal arteritis"
"1317","congestive heart failure"
"1318","lichen planus"
"1319","oral cleft"
"1320","complex regional pain syndrome"
"1321","age at voice drop"
"1322","autosomal dominant compelling helio-ophthalmic outburst syndrome"
"1323","dysmenorrheic pain measurement"
"1324","pericardial adipose tissue measurement"
"1325","skin barrier function measurement"
"1326","donor genotype effect measurement"
"1327","alpha-carotene measurement"
"1328","beta-carotene measurement"
"1329","lutein measurement"
"1330","zeaxanthin measurement"
"1331","cryptoxanthin measurement"
"1332","alpha-tocopherol measurement"
"1333","gamma-tocopherol measurement"
"1334","retinol measurement"
"1335","hepcidin:ferritin ratio"
"1336","hepcidin:transferrin saturation ratio"
"1337","magnesium:calcium ratio"
"1338","emphysema imaging measurement"
"1339","airway imaging measurement"
"1340","gas trapping measurement"
"1341","rotator cuff tear"
"1342","hemoglobin A1 measurement"
"1343","glycerophospholipid measurement"
"1344","hexose measurement"
"1345","ovarian mucinous adenocarcinoma"
"1346","Acute kidney injury"
"1347","response to thioamide"
"1348","postprandial hyperlipidemia"
"1349","neuroticism measurement"
"1350","response to triptolide"
"1351","childhood aggressive behaviour measurement"
"1352","maculopapular eruption"
"1353","response to lamotrigine"
"1354","outer ear morphology trait"
"1355","ear protrusion"
"1356","lobe size"
"1357","lobe attachment"
"1358","tragus size"
"1359","antitragus size"
"1360","helix rolling"
"1361","folding of antihelix"
"1362","crus helix expression"
"1363","superior crus of antihelix expression"
"1364","Darwin’s tubercule"
"1365","metastasis measurement"
"1366","date of diagnosis"
"1367","response to zileuton"
"1368","Ischemic stroke"
"1369","corticobasal degeneration"
"1370","noise-induced hearing loss"
"1371","LDL peak particle diameter measurement"
"1372","total fat intake measurement"
"1373","progression free survival"
"1374","oppositional defiant disorder"
"1375","metastatic colorectal cancer"
"1376","oppositional defiant disorder measurement"
"1377","gait measurement"
"1378","triglyceride change measurement"
"1379","response to cetuximab"
"1380","response to high fat food intake"
"1381","trichloroethylene-induced hypersensitivity"
"1382","altitude sickness"
"1383","coronary aneurysm"
"1384","skin and soft tissue Staphylococcus aureus infection"
"1385","late-onset myasthenia gravis"
"1386","lung disease severity measurement"
"1387","lactate measurement"
"1388","white matter lesion progression measurement"
"1389","postburn hypertrophic scarring severity measurement"
"1390","collagenous colitis"
"1391","seasonal gut microbiome composition measurement"
"1392","response to immunochemotherapy"
"1393","atopic march"
"1394","Staphylococcus aureus carrier status"
"1395","persistent Staphylococcus aureus carrier status"
"1396","alpha linolenic acid measurement"
"1397","docosahexaenoic acid measurement"
"1398","gamma linolenic acid measurement"
"1399","dihomo-gamma-linolenic acid measurement"
"1400","delta-5 desaturase measurement"
"1401","delta-6 desaturase measurement"
"1402","thrombomodulin measurement"
"1403","thrombin-antithrombin complex measurement"
"1404","prothrombin fragments F1+2 measurement"
"1405","base metabolic rate measurement"
"1406","urinary albumin to creatinine ratio"
"1407","response to pazopanib"
"1408","microalbuminuria"
"1409","glioma"
"1410","anti-citrullinated protein antibody seropositivity"
"1411","cerebral atherosclerosis"
"1412","cardiac embolism"
"1413","psoriasis vulgaris"
"1414","small artery occlusion"
"1415","cardiomyopathy"
"1416","nicotine metabolite ratio"
"1417","anxiety disorder measurement"
"1418","parental longevity"
"1419","specific language impairment"
"1420","language measurement"
"1421","linguistic error measurement"
"1422","syntactic complexity measurement"
"1423","pulmonary embolism"
"1424","body fat percentage"
"1425","lycopene measurement"
"1426","obsessive-compulsive symptom measurement"
"1427","emotional symptom measurement"
"1428","LDL cholesterol change measurement"
"1429","HDL cholesterol change measurement"
"1430","total cholesterol change measurement"
"1431","erythrocyte cadmium measurement"
"1432","response to flupirtine"
"1433","response to bortezomib"
"1434","endometrial carcinoma"
"1435","posterior cortical atrophy"
"1436","cognitive behavioural therapy"
"1437","hair morphology measurement"
"1438","hair colour measurement"
"1439","facial hair thickness measurement"
"1440","hair shape measurement"
"1441","balding measurement"
"1442","aggressive behaviour measurement"
"1443","nighttime rest measurement"
"1444","daytime rest measurement"
"1445","eating behaviour"
"1446","food addiction measurement"
"1447","clinical laboratory measurement"
"1448","metastatic prostate cancer"
"1449","squamous cell lung carcinoma"
"1450","head and neck squamous cell carcinoma"
"1451","diarrhea"
"1452","pesticide exposure measurement"
"1453","facial morphology measurement"
"1454","chin morphology measurement"
"1455","forehead morphology measurement"
"1456","lip morphology measurement"
"1457","cheekbone morphology measurement"
"1458","apolipoprotein A-IV measurement"
"1459","functional brain measurement"
"1460","solar lentigines measurement"
"1461","Bronchiolitis"
"1462","neuroendocrine neoplasm"
"1463","pulmonary neuroendocrine tumor"
"1464","pancreatic neuroendocrine tumor"
"1465","small intenstine neuroendocrine tumor"
"1466","wellbeing measurement"
"1467","late-onset Alzheimers disease"
"1468","disease recurrence"
"1469","response to clopidogrel"
"1470","Cluster headache"
"1471","response to norepinephrine-dopamine reuptake inhibitor"
"1472","response to escitalopram"
"1473","selective IgA deficiency disease"
"1474","idiopathic osteonecrosis of the femoral head"
"1475","caffeine metabolite measurement"
"1476","cartilage thickness measurement"
"1477","gut microbiome measurement"
"1478","excessive daytime sleepiness measurement"
"1479","insomnia measurement"
"1480","risky sexual behaviour measurement"
"1481","alcohol consumption measurement"
"1482","petaloid toenail"
"1483","response to dendritic cell-based immunotherapy"
"1484","oropharynx cancer"
"1485","HIV infection"
"1486","hypopharynx cancer"
"1487","pharynx cancer"
"1488","oral cavity cancer"
"1489","Sciatica"
"1490","job related exhaustion measurement"
"1491","microbiome measurement"
"1492","taxonomic microbiome measurement"
"1493","functional microbiome measurement"
"1494","cardioembolic stroke"
"1495","DDT metabolite measurement"
"1496","JT interval"
"1497","susceptibility to childhood ear infection measurement"
"1498","joint hypermobility measurement"
"1499","synophrys measurement"
"1500","AL amyloidosis"
"1501","systemic juvenile idiopathic arthritis"
"1502","methadone dose measurement"
"1503","traffic air pollution measurement"
"1504","CHGA cleavage product measurement"
"1505","CHGB cleavage product measurement"
"1506","personality trait measurement"
"1507","conscientiousness measurement"
"1508","extraversion measurement"
"1509","openness measurement"
"1510","agreeableness measurement"
"1511","response to tricyclic antidepressant"
"1512","response to tetracyclic antidepressant"
"1513","response to anti-tuberculosis drugs"
"1514","response to diclofenac"
"1515","response to fluoroquinolones"
"1516","response to nitrofurantoin"
"1517","response to sulfonylurea"
"1518","response to terbinafine"
"1519","Takotsubo cardiomyopathy"
"1520","tonsillectomy risk measurement"
"1521","radius bone mineral density"
"1522","gingival bleeding"
"1523","tiredness measurement"
"1524","serum galactose-deficient IgA1 measurement"
"1525","HIV-associated neurocognitive disorder"
"1526","acute-on-chronic liver failure"
"1527","treatment-resistant hypertension"
"1528","Varicose veins"
"1529","positive regulation of ovulation"
"1530","Hemifacial microsomia"
"1531","prolonged QT interval"
"1532","red blood cell density measurement"
"1533","childhood trauma measurement"
"1534","cerebral blood flow measurement"
"1535","response to thiazide"
"1536","mild neurocognitive disorder"
"1537","asymptomatic neurocognitive impairment"
"1538","snoring measurement"
"1539","parental emotion expression measurmement"
"1540","sex interaction measurement"
"1541","response to placebo"
"1542","response to duloxetine"
"1543","family history of upper gastrointestinal cancer"
"1544","response to trastuzumab"
"1545","response to ranibizumab"
"1546","thiazide-induced hyponatremia"
"1547","melancholia"
"1548","HPV-associated cervical carcinoma"
"1549","differentiated thyroid carcinoma"
"1550","stressful life event measurement"
"1551","endophenotype"
"1552","yang deficiency"
"1553","trans/cis-18:2 fatty acid measurement"
"1554","dementia"
"1555","total trans-18:1 fatty acid measurement"
"1556","sexual dimorphism"
"1557","thiopurine methyltransferase activity measurement"
"1558","linolenic acid measurement"
"1559","spontaneous pneumothorax"
"1560","response to CAPOX-B"
"1561","nose morphology measurement"
"1562","leukocyte immunoglobulin-like receptor subfamily B member 2 measurement"
"1563","plasma renin activity measurement"
"1564","Kunitz-type protease inhibitor 1 measurement"
"1565","rapid kidney function decline"
"1566","aggressive periodontitis"
"1567","multiple system atrophy"
"1568","intermittent Staphylococcus aureus carrier status"
"1569","facial width measurement"
"1570","Headache"
"1571","menstrual cycle measurement"
"1572","plasma betaine measurement"
"1573","hormone replacement therapy"
"1574","birth rate"
"1575","cutaneous psoriasis measurement"
"1576","eicosapentaenoic acid measurement"
"1577","estrone measurement"
"1578","gondoic acid measurement"
"1579","salivary gland lesion"
"1580","BMI-adjusted leptin measurement"
"1581","hypermetropia"
"1582","chemotherapy-induced oral mucositis"
"1583","Lewy body dementia measurement"
"1584","cerebral amyloid angiopathy"
"1585","very long-chain saturated fatty acid measurement"
"1586","estrogen-receptor negative breast cancer"
"1587","obstructive sleep apnea"
"1588","visual acuity measurement"
"1589","tumor necrosis factor receptor II measurement"
"1590","treatment outcome measurement"
"1591","TP53 mutation status"
"1592","total cortical area measurement"
"1593","perceived unattractiveness to mosquitos measurement"
"1594","P wave terminal force measurement"
"1595","mosquito bite reaction size measurement"
"1596","mosquito bite reaction itch intensity measurement"
"1597","mosquito bite measurement"
"1598","macula measurement"
"1599","liver amyloid deposition measurement"
"1600","left ventricular ejection fraction measurement"
"1601","laterality measurement"
"1602","kidney amyloid deposition measurement"
"1603","infant white matter volume measurement"
"1604","infant intracranial volume measurement"
"1605","infant grey matter volume measurement"
"1606","infant cerebrospinal fluid volume measurement"
"1607","IgG isotype profile measurement"
"1608","heart amyloid deposition measurement"
"1609","generational effect measurement"
"1610","gamma-linoleic acid measurement"
"1611","farm exposure measurement"
"1612","environmental tobacco smoke exposure measurement"
"1613","environmental exposure measurement"
"1614","eicosadienoic acid measurement"
"1615","dorsolateral prefrontal cortex functional measurement"
"1616","docosatetranoic acid measurement"
"1617","dihomo-gamma-linoleic acid measurement"
"1618","dietary heme iron intake measurement"
"1619","cognitive function measurement"
"1620","cellular adhesion molecule measurement"
"1621","C9orf72 mutation status"
"1622","amyloid deposition measurement"
"1623","alpha-linoleic acid measurement"
"1624","infectious mononucleosis"
"1625","chickenpox"
"1626","scarlet fever"
"1627","hepatitis A"
"1628","urinary tract infection"
"1629","rheumatic fever"
"1630","common cold"
"1631","limited scleroderma"
"1632","diffuse scleroderma"
"1633","oligoarticular juvenile idiopathic arthritis"
"1634","polyarticular juvenile idiopathic arthritis, rheumatoid factor negative"
"1635","nonalcoholic steatohepatitis"
"1636","spinal stenosis"
"1637","ankle injury"
"1638","body odour measurement"
"1639","caudate nucleus measurement"
"1640","gamma wave measurement"
"1641","putamen measurement"
"1642","prothrombin time measurement"
"1643","erythropoetin measurement"
"1644","triiodothyronine measurement"
"1645","reaction time measurement"
"1646","verbal-numerical reasoning measurement"
"1647","response to darapladib"
"1648","response to reward"
"1649","response to disappointment"
"1650","appendicular lean mass"
"1651","T wave morphology measurement"
"1652","mean fractional anisotropy measurement"
"1653","susceptibility to chickenpox measurement"
"1654","susceptibility to shingles measurement"
"1655","susceptibility to cold sores measurement"
"1656","susceptibility to mononucleosis measurement"
"1657","susceptibility to mumps measurement"
"1658","susceptibility to hepatitis B infection measurement"
"1659","susceptibility to plantar warts measurement"
"1660","susceptibility to Mycobacterium tuberculosis infection measurement"
"1661","susceptibility to strep throat measurement"
"1662","susceptibility to scarlet fever measurement"
"1663","susceptibility to pneumonia measurement"
"1664","susceptibility to bacterial meningitis measurement"
"1665","susceptibility to vaginal yeast infection measurement"
"1666","susceptibility to urinary tract infection measurement"
"1667","digestive system carcinoma"
"1668","agoraphobia symptom measurement"
"1669","Young adult-onset Parkinsonism"
"1670","bone fracture"
"1671","[Pyruvate dehydrogenase acetyl-transferring] kinase isozyme 1, mitochondrial measurement"
"1672","1,5 anhydroglucitol measurement"
"1673","a disintegrin and metalloproteinase with thrombospondin motifs 13"
"1674","Abelson tyrosine-protein kinase 2 measurement"
"1675","acid sphingomyelinase-like phosphodiesterase 3a measurement"
"1676","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement"
"1677","afamin measurement"
"1678","age at assessment"
"1679","Agouti-related protein measurement"
"1680","alcohol dehydrogenase [NADP+] measurement"
"1681","alcoholic pancreatitis"
"1682","alpha-1-antichymotrypsin complex measurement"
"1683","alpha-1-antichymotrypsin measurement"
"1684","alpha-2-HS-glycoprotein measurement"
"1685","alpha-2-macroglobulin receptor-associated protein measurement"
"1686","angiogenin measurement"
"1687","angiopoietin-1 receptor, soluble measurement"
"1688","angiostatin measurement"
"1689","angiotensinogen measurement"
"1690","annexin A1 measurement"
"1691","annexin A2 measurement"
"1692","apolipoprotein E isoform E2 measurement"
"1693","apolipoprotein E measurement"
"1694","arylsulfatase B measurement"
"1695","aspartate aminotransferase, cytoplasmic measurement"
"1696","basal cell adhesion molecule measurement"
"1697","benign prostatic hyperplasia"
"1698","beta-Ala-His dipeptidase measurement"
"1699","beta-endorphin measurement"
"1700","beta-nerve growth factor measurement"
"1701","BMI-adjusted fasting blood glucose measurement"
"1702","BMI-adjusted fasting blood insulin measurement"
"1703","BMI-adjusted hip bone size"
"1704","BMI-adjusted hip circumference"
"1705","borderline personality disorder"
"1706","breast cancer anti-estrogen resistance protein 3 measurement"
"1707","C-C motif chemokine 1 measurement"
"1708","C-C motif chemokine 14 measurement"
"1709","C-C motif chemokine 15 measurement"
"1710","C-C motif chemokine 16 measurement"
"1711","C-C motif chemokine 17 measurement"
"1712","C-C motif chemokine 18 measurement"
"1713","C-C motif chemokine 19 measurement"
"1714","C-C motif chemokine 21 measurement"
"1715","C-C motif chemokine 23 measurement"
"1716","C-C motif chemokine 25 measurement"
"1717","C-C motif chemokine 3 measurement"
"1718","C-C motif chemokine 5 measurement"
"1719","C-C motif chemokine 7 measurement"
"1720","C-C motif chemokine 8 measurement"
"1721","C-X-C motif chemokine 10 measurement"
"1722","C-X-C motif chemokine 11 measurement"
"1723","C-X-C motif chemokine 5 measurement"
"1724","C-X-C motif chemokine 6 measurement"
"1725","cadherin-5 measurement"
"1726","calcineurin measurement"
"1727","calcium/calmodulin-dependent protein kinase type 1 measurement"
"1728","calcium/calmodulin-dependent protein kinase type 1D measurement"
"1729","calpain I measurement"
"1730","calpastatin measurement"
"1731","carbohydrate sulfotransferase 15 measurement"
"1732","carbonic anhydrase 13 measurement"
"1733","carbonic anhydrase 6 measurement"
"1734","carboxypeptidase B2 measurement"
"1735","caspase-3 measurement"
"1736","cathepsin B measurement"
"1737","cathepsin S measurement"
"1738","cathepsin Z measurement"
"1739","cation-independent mannose-6-phosphate receptor measurement"
"1740","CD109 antigen measurement"
"1741","CD27 antigen measurement"
"1742","cell adhesion molecule-related/down-regulated by oncogenes measurement"
"1743","cerebrospinal fluid volume measurement"
"1744","cGMP-specific 3’,5’-cyclic phosphodiesterase measurement"
"1745","chemokine (C-C motif) ligand 27 measurement"
"1746","chemokine (C-X-C motif) ligand 1 measurement"
"1747","chitotriosidase-1 measurement"
"1748","Ck-beta-8-1 measurement"
"1749","CMRF35-like molecule 6 measurement"
"1750","coagulation factor V measurement"
"1751","collectin-11 measurement"
"1752","complement C1q subcomponent measurement"
"1753","complement C1r subcomponent measurement"
"1754","complement C1s subcomponent measurement"
"1755","complement C4b measurement"
"1756","complement component C7 measurement"
"1757","complement component C8 measurement"
"1758","complement decay-accelerating factor measurement"
"1759","complement factor B measurement"
"1760","complement factor H measurement"
"1761","complement factor H-related protein 5 measurement"
"1762","complement factor I measurement"
"1763","contactin-2 measurement"
"1764","contactin-5 measurement"
"1765","copine-1 measurement"
"1766","cystatin-D measurement"
"1767","cystatin-F measurement"
"1768","cystatin-SA measurement"
"1769","cystatin-SN measurement"
"1770","death-associated protein kinase 2 measurement"
"1771","dermatopontin measurement"
"1772","Dickkopf-related protein 3 measurement"
"1773","Dickkopf-related protein 4 measurement"
"1774","diet measurement"
"1775","dual specificity mitogen-activated protein kinase kinase 2 measurement"
"1776","dual specificity mitogen-activated protein kinase kinase 4 measurement"
"1777","dynein light chain roadblock-type 1 measurement"
"1778","ectonucleoside triphosphate diphosphohydrolase 5 measurement"
"1779","EGF-like module-containing mucin-like hormone receptor-like 2 measurement"
"1780","elafin measurement"
"1781","endoglin measurement"
"1782","endoplasmic reticulum aminopeptidase 1 measurement"
"1783","endothelial cell-selective adhesion molecule measurement"
"1784","endothelin-converting enzyme 1 measurement"
"1785","eotaxin measurement"
"1786","ephrin type-A receptor 1 measurement"
"1787","ephrin type-B receptor 2 measurement"
"1788","estrogen receptor measurement"
"1789","extracellular matrix protein 1 measurement"
"1790","Fc receptor-like protein 3 measurement"
"1791","fetuin-B measurement"
"1792","fibroblast growth factor 2 measurement"
"1793","fibroblast growth factor basic measurement"
"1794","fibronectin fragment 3 measurement"
"1795","fibronectin fragment 4 measurement"
"1796","fibronectin measurement"
"1797","ficolin-1 measurement"
"1798","ficolin-2 measurement"
"1799","galactoside 34-L-fucosyltransferase measurement"
"1800","galectin-3 measurement"
"1801","GDNF family receptor alpha-2 measurement"
"1802","glypican-5 measurement"
"1803","gp41 C34 peptide, HIV measurement"
"1804","granulins measurement"
"1805","granulocyte colony-stimulating factor measurement"
"1806","granulysin measurement"
"1807","granzyme A measurement"
"1808","growth-regulated alpha protein measurement"
"1809","gwas_trait"
"1810","hemojuvelin measurement"
"1811","hemopexin measurement"
"1812","heparin cofactor 2 measurement"
"1813","hepatitis A virus cellular receptor 2 measurement"
"1814","hepatocyte growth factor activator measurement"
"1815","hepatocyte growth factor receptor measurement"
"1816","hepatocyte growth factor-like protein measurement"
"1817","histidine-rich glycoprotein measurement"
"1818","human Chorionic Gonadotropin measurement"
"1819","inorganic pyrophosphatase measurement"
"1820","inosine-5-monophosphate dehydrogenase 1 measurement"
"1821","inosine-5-monophosphate dehydrogenase 2 measurement"
"1822","insulin receptor measurement"
"1823","insulin-like growth factor-binding protein 7 measurement"
"1824","integrin alpha-I: beta-1 complex measurement"
"1825","intercellular adhesion molecule 2 measurement"
"1826","intercellular adhesion molecule 5 measurement"
"1827","interferon gamma measurement"
"1828","interleukin 1 Receptor accessory protein measurement"
"1829","interleukin 1 receptor-like 1 measurement"
"1830","interleukin 1 receptor-like 2 measurement"
"1831","interleukin 12 receptor subunit beta-1 measurement"
"1832","interleukin 13 measurement"
"1833","creatinine clearance measurement"
"1834","urinary uric acid to creatinine ratio"
"1835","disease prognosis measurement"
"1836","high-altitude pulmonary edema"
"1837","rheumatic heart disease"
"1838","mouth morphology measurement"
"1839","monocyte:lymphocyte ratio"
"1840","macular telangiectasia type 2"
"1841","fetal genotype effect measurement"
"1842","organochlorine pesticide measurement"
"1843","polybrominated biphenyl measurement"
"1844","polybrominated diphenyl ether measurement"
"1845","abnormal paneth cell measurement"
"1846","gestational serum measurement"
